Sensors;Cores
3;0
Time;pc 0;pc 1;pc 2;pc 3;current 0;current 1;current 2;current 3;current 4;current 5;current 6;voltage 0;voltage 1;voltage 2;voltage 3;voltage 4;voltage 5;voltage 6
1.917;0;0;0;0;0.287372;0.00542255;5.76127;0;0;0;0;5.12013;1.52099;0.016375;0;0;0;0
1.91709;0;0;0;0;0.28463;0.00501911;16.6423;0;0;0;0;5.11396;1.52331;0.0156032;0;0;0;0
1.91717;0;0;0;0;0.279467;0.00493843;11.2018;0;0;0;0;5.1209;1.51944;0.016375;0;0;0;0
1.91726;0;0;0;0;0.283984;0.0050998;13.378;0;0;0;0;5.1155;1.52176;0.0179184;0;0;0;0
1.91735;0;0;0;0;0.275756;0.00485774;-16.0008;0;0;0;0;5.10316;1.49856;0.0102011;0;0;0;0
1.91743;0;0;0;0;0.276885;0.00485774;-10.5603;0;0;0;0;5.09545;1.50088;0.0117446;0;0;0;0
1.91752;0;0;0;0;0.282048;0.00526118;9.02558;0;0;0;0;5.12245;1.5148;0.0186902;0;0;0;0
1.91761;0;0;0;0;0.28463;0.00485774;-7.29597;0;0;0;0;5.09622;1.5001;0.0125163;0;0;0;0
1.9177;0;0;0;0;0.286243;0.00485774;-12.7365;0;0;0;0;5.09622;1.49701;0.0102011;0;0;0;0
1.91779;0;0;0;0;0.285114;0.00485774;5.76127;0;0;0;0;5.09391;1.50939;0.0125163;0;0;0;0
1.91787;0;0;0;0;0.280596;0.00485774;-13.8246;0;0;0;0;5.10085;1.49701;0.0125163;0;0;0;0
1.91796;0;0;0;0;0.286566;0.00485774;17.7304;0;0;0;0;5.12013;1.52331;0.016375;0;0;0;0
1.91805;0;0;0;0;0.28834;0.00526118;20.9947;0;0;0;0;5.12553;1.51557;0.0171467;0;0;0;0
1.91813;0;0;0;0;0.281403;0.0050998;13.378;0;0;0;0;5.11782;1.52254;0.016375;0;0;0;0
1.91822;0;0;0;0;0.286566;0.00526118;18.8185;0;0;0;0;5.11782;1.51867;0.0186902;0;0;0;0
1.91831;0;0;0;0;0.279628;0.00534186;16.6423;0;0;0;0;5.12167;1.51712;0.0186902;0;0;0;0
1.9184;0;0;0;0;0.280758;0.00526118;7.93748;0;0;0;0;5.10779;1.52022;0.016375;0;0;0;0
1.91848;0;0;0;0;0.286727;0.00485774;3.58506;0;0;0;0;5.10702;1.51016;0.0125163;0;0;0;0
1.91858;0;0;0;0;0.289147;0.00485774;5.76127;0;0;0;0;5.10625;1.51016;0.0125163;0;0;0;0
1.91867;0;0;0;0;0.280758;0.00485774;3.58506;0;0;0;0;5.1101;1.51016;0.0117446;0;0;0;0
1.91875;0;0;0;0;0.282371;0.00485774;6.84937;0;0;0;0;5.10856;1.50939;0.0132881;0;0;0;0
1.91884;0;0;0;0;0.28592;0.00485774;3.58506;0;0;0;0;5.10779;1.51016;0.0125163;0;0;0;0
1.91893;0;0;0;0;0.284791;0.00485774;0.320755;0;0;0;0;5.10933;1.50861;0.0125163;0;0;0;0
1.91901;0;0;0;0;0.28592;0.00485774;0.320755;0;0;0;0;5.10625;1.50939;0.0132881;0;0;0;0
1.9191;0;0;0;0;0.285275;0.00485774;2.49696;0;0;0;0;5.10625;1.50939;0.0132881;0;0;0;0
1.91919;0;0;0;0;0.287534;0.00485774;2.49696;0;0;0;0;5.10625;1.50939;0.0132881;0;0;0;0
1.91928;0;0;0;0;0.297698;0.00485774;0.320755;0;0;0;0;5.10779;1.50861;0.0132881;0;0;0;0
